sku,description,demand_pattern,model_used,mape_cv,mape_backtest,wmape_backtest,bias_pct,status
AGP600,ANLENE GOLD PLAIN 12X600 GR,SMOOTH,Prophet,47.38284546136629,6.301446749853559,6.180730671314826,6.18073067131483,OK
AAV250,ANLENE ACTIFIT VANILLA 24X240 GR,SMOOTH,Prophet,55.28678117959531,7.991070911685092,9.528129610363282,-9.528129610363282,OK
ABV25SAC,ANCHOR BONEETO VANILLA 120x25 GR,ERRATIC,Prophet,61.11554696464705,8.066408199767334,9.251734716787418,-7.251718779552648,OK
AAV600,ANLENE ACTIFIT VANILLA 12X600 GR,SMOOTH,Prophet,32.05889184298592,8.352391921535181,9.698789309143379,-5.857077627185629,OK
AGV250,ANLENE GOLD VANILLA 24X240 GR,SMOOTH,Prophet,42.9437865501847,8.411860040046733,7.582548290476167,5.126335124470697,OK
AGC25SAC,ANLENE GOLD CHOCOLATE 120x25GR,SMOOTH,Prophet,0.21674627480855882,8.685556867115809,8.141937606874945,7.698221532369646,OK
AAC250,ANLENE ACTIFIT CHOCOLATE 24X240 GR,SMOOTH,Prophet,35.71424348604273,12.84258999301101,11.795912669997394,-11.79591266999738,OK
AGV25SAC,ANLENE GOLD VANILLA 120x25 GR,SMOOTH,Prophet,0.2788971659888297,14.79639832111891,15.49793539271046,-15.3903832194865,OK
AGV175,ANLENE GOLD VANILLA 24x170 GR,SMOOTH,Prophet,42.07988082140844,17.307150785542483,14.014537141008157,7.675337618054215,OK
AGC250,ANLENE GOLD CHOCOLATE 24X240 GR,SMOOTH,Prophet,1.7550349159362202,17.49290907491126,19.804270970656944,-15.407770704814386,OK
ABC700,ANCHOR BONEETO CHOCOLATE 12X685 GR,SMOOTH,Prophet,68.78886584365911,18.761724027973635,19.98599870285172,4.543707770199185,OK
AAC20SAC,ANLENE ACTIFIT CHOCOLATE 120x22 GR,SMOOTH,Prophet,0.408054269052637,19.354832298764656,20.76650039817339,-1.4951417131722033,OK
ABV700,ANCHOR BONEETO VANILLA 12X685 GR,SMOOTH,Prophet,113.09862397560468,20.210857314444745,18.03674766183804,-4.733735178832407,OK
AAV20SAC,ANLENE ACTIFIT VANILLA 120x20 GR,SMOOTH,Prophet,0.24098829116775525,21.115024405409763,20.88118428871986,3.293861475305969,OK
AGC175,ANLENE GOLD CHOCOLATE 24x170 GR,SMOOTH,Prophet,53.446717779350095,21.470981605253062,17.704750260868494,8.274742874692326,OK
BKM500,ANC BKRMX MLK 9X500G LOKI,SMOOTH,Prophet,39.250974098277325,23.77892959072422,21.485329125710773,21.48532912571077,OK
AGC600,ANLENE GOLD CHOCOLATE 12X600 GR,SMOOTH,Prophet,54.14284431447243,23.964648770213913,23.544859437887045,1.109873869689228,OK
AAC600,ANLENE ACTIFIT CHOCOLATE 12X600 GR,SMOOTH,Prophet,49.40420757844288,28.28316077027316,27.28213837350847,-12.882629343855637,OK
AGC850,ANLENE GOLD CHOCOLATE 12X850 GR,SMOOTH,Prophet,0.5122992956306449,32.341643859114974,32.35641830323202,-32.35641830323202,REVIEW
AMC200,ANMUM MATERNA CHOCOLATE 24X200 GR,ERRATIC,Prophet,128.2648096531492,34.04657578533998,89.4197413847179,22.102008880635278,REVIEW
AGV600,ANLENE GOLD VANILLA 12X600 GR,SMOOTH,Prophet,0.41208316625235203,43.54260560974041,37.1972245467205,-3.077760116907686,REVIEW
AMC400,ANMUM MATERNA CHOCOLATE 12X400 GR,SMOOTH,Prophet,69.08760843138923,43.88689311346225,66.2884970123984,-17.491448273821124,REVIEW
AGV850,ANLENE GOLD VANILLA 12X850 GR,SMOOTH,Prophet,0.41722854622554423,48.03106040017713,46.46106793561159,2.319395063749537,REVIEW
AGP250,ANLENE GOLD PLAIN 24X240 GR,SMOOTH,Prophet,0.41349327402055347,48.36190552262373,36.39737102295603,33.57399215138117,REVIEW
ALC400,ANMUM LACTA CHOCOLATE 12X400 GR,SMOOTH,Prophet,138.96071425076653,49.208988054179414,351.8263648775628,351.8263648775628,REVIEW
AAP250,ANLENE ACTIFIT PLAIN 24X240 GR,SMOOTH,Prophet,72.41511002224217,53.1850093470971,57.24406028844909,-57.24406028844909,REVIEW
AGP850,ANLENE GOLD PLAIN 12X850 GR,SMOOTH,Prophet,0.37408662110290086,53.450948573247494,51.41002309281085,29.218009504153976,REVIEW
AAP600,ANLENE ACTIFIT PLAIN 12X600 GR,ERRATIC,Prophet,64.4472755731379,81.02068842484421,81.05684060220713,81.05684060220713,REVIEW
ABC25SAC,ANCHOR BONEETO CHOCOLATE 120x25 GR,LUMPY,ADIDA,,,41.30130249457695,-41.30130249457696,REVIEW
ABC325,ANCHOR BONEETO CHOCOLATE 24X320 GR,INTERMITTENT,CrostonSBA,,,7.800077065871973,4.710202649641158,OK
ABV325,ANCHOR BONEETO VANILLA 24X320 GR,INTERMITTENT,CrostonSBA,,,46.17421494117542,-46.174214941175435,REVIEW
ABV350,ANCHOR BONEETO VANILLA 24X350 GR,INTERMITTENT,CrostonSBA,,,,,REVIEW
ACV400,ANLENE COMPLETE VANILLA 24X400 GR,LUMPY,ADIDA,,,,,REVIEW
ACV800,ANLENE COMPLETE VANILLA 12X800 GR,LUMPY,ADIDA,,,,,REVIEW
AEC200,ANMUM Materna Emesa 200g,INTERMITTENT,CrostonSBA,,,,,REVIEW
AFM1000,ANC FD PROF MP PLAIN 1KG OASIS OASIS,INTERMITTENT,CrostonSBA,,,,,REVIEW
AGH175,ANLENE GOLD HABBATUSSAUDA 24x160 GR,INTERMITTENT,CrostonSBA,,,167.15408955698746,101.4622686709623,REVIEW
AGH600,ANLENE GOLD HABBATUSSAUDA 12x600 GR,INTERMITTENT,CrostonSBA,,,26.018994838118935,-21.18861481506481,OK
ALC200,ANMUM LACTA CHOCOLATE 24X200 GR,INTERMITTENT,CrostonSBA,,,167.01397685195607,101.04193055586825,REVIEW
AMC46,ANMUM MATERNA CHOCO 2X46GR,LUMPY,ADIDA,,,,,REVIEW
AMLC360,ANMUM MATERNA CHOCOLATE 12X360 GR,INTERMITTENT,CrostonSBA,,,,,REVIEW
AMS200,ANMUM MATERNA STRAWBERRY. 200GR,INTERMITTENT,CrostonSBA,,,,,REVIEW
AMS400,ANMUM MATERNA STRAWBERRY 12X400 GR,INTERMITTENT,CrostonSBA,,,,,REVIEW
AMS43,ANM MATNA MP SBRY 48X86G BTN,INTERMITTENT,CrostonSBA,,,,,REVIEW
AMV400,ANMUM Materna Vanilla 400g,INTERMITTENT,CrostonSBA,,,70.64751342628568,-11.94254027885706,REVIEW
NPD0001,ANLENE GOLD HERBAL SSS 120x25 GR,LUMPY,ADIDA,,,,,REVIEW
NTW1000,ANC NW MP 9X1KG,INTERMITTENT,CrostonSBA,,,,,REVIEW
SSC1000,ANC AFP SSERVE CHOC 9X1KG,INTERMITTENT,CrostonSBA,,,79.83054961673426,-79.83054961673426,REVIEW
SSD1000,ANC AFP SSERVE DAIRY 9X1KG,INTERMITTENT,CrostonSBA,,,,,REVIEW
SSV1000,ANC AFP SSERVE VAN 9X1KG,INTERMITTENT,CrostonSBA,,,78.83046505161613,-78.83046505161614,REVIEW
