sku,reason,model_used
1BJ135,INSUFFICIENT_DATA (<2 non-zero),
1BJ350,INSUFFICIENT_DATA (<2 non-zero),
3BJ350,INSUFFICIENT_DATA (<2 non-zero),
ABC650,INSUFFICIENT_DATA (<2 non-zero),
ABV650,INSUFFICIENT_DATA (<2 non-zero),
ACV150,INSUFFICIENT_DATA (<2 non-zero),
AGC350,INSUFFICIENT_DATA (<2 non-zero),
AGC650,INSUFFICIENT_DATA (<2 non-zero),
AGP350,INSUFFICIENT_DATA (<2 non-zero),
AGP650,INSUFFICIENT_DATA (<2 non-zero),
AGV650,INSUFFICIENT_DATA (<2 non-zero),
ALP200,INSUFFICIENT_DATA (<2 non-zero),
AMLC30,INSUFFICIENT_DATA (<2 non-zero),
AMV43,INSUFFICIENT_DATA (<2 non-zero),
ASM1000,INSUFFICIENT_DATA (<2 non-zero),
ESS3V340,INSUFFICIENT_DATA (<2 non-zero),
ESS3V750,INSUFFICIENT_DATA (<2 non-zero),
ESS4V340,INSUFFICIENT_DATA (<2 non-zero),
ESS4V750,INSUFFICIENT_DATA (<2 non-zero),
MRTWMPR1KG,INSUFFICIENT_DATA (<2 non-zero),
NPD0002,INSUFFICIENT_DATA (<2 non-zero),
NPD0003,INSUFFICIENT_DATA (<2 non-zero),
NPD0004,INSUFFICIENT_DATA (<2 non-zero),
NPDAM200,INSUFFICIENT_DATA (<2 non-zero),
AGC850,PROPHET_REVIEW (MAPE >= 30%),Prophet
AMC200,PROPHET_REVIEW (MAPE >= 30%),Prophet
AGV600,PROPHET_REVIEW (MAPE >= 30%),Prophet
AMC400,PROPHET_REVIEW (MAPE >= 30%),Prophet
AGV850,PROPHET_REVIEW (MAPE >= 30%),Prophet
AGP250,PROPHET_REVIEW (MAPE >= 30%),Prophet
ALC400,PROPHET_REVIEW (MAPE >= 30%),Prophet
AAP250,PROPHET_REVIEW (MAPE >= 30%),Prophet
AGP850,PROPHET_REVIEW (MAPE >= 30%),Prophet
AAP600,PROPHET_REVIEW (MAPE >= 30%),Prophet
ABC25SAC,CROSTON_REVIEW (wMAPE >= 40%),Croston/SBA
ABV325,CROSTON_REVIEW (wMAPE >= 40%),Croston/SBA
ABV350,CROSTON_REVIEW (wMAPE >= 40%),Croston/SBA
ACV400,CROSTON_REVIEW (wMAPE >= 40%),Croston/SBA
ACV800,CROSTON_REVIEW (wMAPE >= 40%),Croston/SBA
AEC200,CROSTON_REVIEW (wMAPE >= 40%),Croston/SBA
AFM1000,CROSTON_REVIEW (wMAPE >= 40%),Croston/SBA
AGH175,CROSTON_REVIEW (wMAPE >= 40%),Croston/SBA
ALC200,CROSTON_REVIEW (wMAPE >= 40%),Croston/SBA
AMC46,CROSTON_REVIEW (wMAPE >= 40%),Croston/SBA
AMLC360,CROSTON_REVIEW (wMAPE >= 40%),Croston/SBA
AMS200,CROSTON_REVIEW (wMAPE >= 40%),Croston/SBA
AMS400,CROSTON_REVIEW (wMAPE >= 40%),Croston/SBA
AMS43,CROSTON_REVIEW (wMAPE >= 40%),Croston/SBA
AMV400,CROSTON_REVIEW (wMAPE >= 40%),Croston/SBA
NPD0001,CROSTON_REVIEW (wMAPE >= 40%),Croston/SBA
NTW1000,CROSTON_REVIEW (wMAPE >= 40%),Croston/SBA
SSC1000,CROSTON_REVIEW (wMAPE >= 40%),Croston/SBA
SSD1000,CROSTON_REVIEW (wMAPE >= 40%),Croston/SBA
SSV1000,CROSTON_REVIEW (wMAPE >= 40%),Croston/SBA
