sku,p,CV Squared,model,description,category,segment
AAC20SAC,1.0666666666666667,0.19562592930117267,SBA,ANLENE ACTIFIT CHOCOLATE 120x22 GR,ANLENE ACTIFIT,SMOOTH
AAC250,1.0666666666666667,0.16075360974465774,SBA,ANLENE ACTIFIT CHOCOLATE 24X240 GR,ANLENE ACTIFIT,SMOOTH
AAC25SAC,1.0,0.2491644445069855,SBA,ANLENE ACTIFIT CHOCOLATE 120x25 GR,ANLENE ACTIFIT,SMOOTH
AAC600,1.032258064516129,0.24140245676058858,SBA,ANLENE ACTIFIT CHOCOLATE 12X600 GR,ANLENE ACTIFIT,SMOOTH
AAP250,1.2307692307692308,0.1562462485102995,SBA,ANLENE ACTIFIT PLAIN 24X240 GR,ANLENE ACTIFIT,SMOOTH
AAP600,1.1428571428571428,2.779657911131401,Croston,ANLENE ACTIFIT PLAIN 12X600 GR,ANLENE ACTIFIT,ERRATIC
AAV20SAC,1.0666666666666667,0.17177298747829872,SBA,ANLENE ACTIFIT VANILLA 120x20 GR,ANLENE ACTIFIT,SMOOTH
AAV250,1.0666666666666667,0.19471946060201387,SBA,ANLENE ACTIFIT VANILLA 24X240 GR,ANLENE ACTIFIT,SMOOTH
AAV600,1.032258064516129,0.1329739764120722,SBA,ANLENE ACTIFIT VANILLA 12X600 GR,ANLENE ACTIFIT,SMOOTH
ABC25SAC,1.391304347826087,0.5451749245122295,SBA,ANCHOR BONEETO CHOCOLATE 120x25 GR,BONEETO REGULER,LUMPY
ABC325,1.5238095238095237,0.3228869448769356,SBA,ANCHOR BONEETO CHOCOLATE 24X320 GR,BONEETO REGULER,INTERMITTENT
ABC350,1.0,0.23409395767499763,SBA,ANCHOR BONEETO CHOCOLATE 24X350 GR,BONEETO REGULER,SMOOTH
ABC700,1.1851851851851851,0.13445988126262567,SBA,ANCHOR BONEETO CHOCOLATE 12X685 GR,BONEETO REGULER,SMOOTH
ABV25SAC,1.2307692307692308,1.8812763435547655,Croston,ANCHOR BONEETO VANILLA 120x25 GR,BONEETO REGULER,ERRATIC
ABV325,1.4545454545454546,0.1146484255188423,SBA,ANCHOR BONEETO VANILLA 24X320 GR,BONEETO REGULER,INTERMITTENT
ABV350,1.6666666666666667,0.030541885686740818,SBA,ANCHOR BONEETO VANILLA 24X350 GR,BONEETO REGULER,INTERMITTENT
ABV700,1.1851851851851851,0.2890247652240077,SBA,ANCHOR BONEETO VANILLA 12X685 GR,BONEETO REGULER,SMOOTH
ACV400,2.2857142857142856,0.9421333011782965,SBA,ANLENE COMPLETE VANILLA 24X400 GR,ANLENE COMPLETE 10,LUMPY
ACV800,1.7777777777777777,0.6341141727850097,SBA,ANLENE COMPLETE VANILLA 12X800 GR,ANLENE COMPLETE 10,LUMPY
AEC200,1.9,2.3663462295822395e-05,SBA,ANMUM Materna Emesa 200g,ANMUM MATERNA,INTERMITTENT
AFM1000,2.3333333333333335,0.07380502420459588,SBA,ANC FD PROF MP PLAIN 1KG OASIS OASIS,ANCHOR FOOD PROFESSIONAL,INTERMITTENT
AGC175,1.28,0.23724189575146676,SBA,ANLENE GOLD CHOCOLATE 24x170 GR,ANLENE GOLD,SMOOTH
AGC250,1.0,0.23582647725919176,SBA,ANLENE GOLD CHOCOLATE 24X240 GR,ANLENE GOLD,SMOOTH
AGC25SAC,1.103448275862069,0.15829004420207177,SBA,ANLENE GOLD CHOCOLATE 120x25GR,ANLENE GOLD,SMOOTH
AGC600,1.1428571428571428,0.14248248166635133,SBA,ANLENE GOLD CHOCOLATE 12X600 GR,ANLENE GOLD,SMOOTH
AGC620,1.0,0.5326274094215623,Croston,ANLENE GOLD CHOCOLATE 12X620 GR,ANLENE GOLD,ERRATIC
AGC850,1.1428571428571428,0.3259083585426034,SBA,ANLENE GOLD CHOCOLATE 12X850 GR,ANLENE GOLD,SMOOTH
AGC900,1.0,0.040604875257552665,SBA,ANLENE GOLD CHOCOLATE 12X885 GR,ANLENE GOLD,SMOOTH
AGH175,1.9375,0.3032472828536501,SBA,ANLENE GOLD HABBATUSSAUDA 24x160 GR,ANLENE GOLD,INTERMITTENT
AGH600,1.4545454545454546,0.3556759659903977,SBA,ANLENE GOLD HABBATUSSAUDA 12x600 GR,ANLENE GOLD,INTERMITTENT
AGP250,1.0,0.1944049679202256,SBA,ANLENE GOLD PLAIN 24X240 GR,ANLENE GOLD,SMOOTH
AGP600,1.1428571428571428,0.12743952766601996,SBA,ANLENE GOLD PLAIN 12X600 GR,ANLENE GOLD,SMOOTH
AGP620,1.0,0.48986664264065316,SBA,ANLENE GOLD PLAIN 12X620 GR,ANLENE GOLD,SMOOTH
AGP850,1.1428571428571428,0.2534021742961367,SBA,ANLENE GOLD PLAIN 12X850 GR,ANLENE GOLD,SMOOTH
AGP900,1.0,0.42056808648805316,SBA,ANLENE GOLD PLAIN 12X885 GR,ANLENE GOLD,SMOOTH
AGV175,1.1428571428571428,0.26506316280582654,SBA,ANLENE GOLD VANILLA 24x170 GR,ANLENE GOLD,SMOOTH
AGV250,1.032258064516129,0.16275108122491272,SBA,ANLENE GOLD VANILLA 24X240 GR,ANLENE GOLD,SMOOTH
AGV25SAC,1.0666666666666667,0.34926759596732293,SBA,ANLENE GOLD VANILLA 120x25 GR,ANLENE GOLD,SMOOTH
AGV600,1.103448275862069,0.17179883961429454,SBA,ANLENE GOLD VANILLA 12X600 GR,ANLENE GOLD,SMOOTH
